"bio_year","latitude_rounded","longitude_rounded","slf_present","slf_established","DistToIntro","theta","sectors","rotation_nb","sectors_nb"
2020,41.04505,-76.25882,TRUE,TRUE,85.5631166150541,5.45962025759801,20,1,18
2014,40.45946,-75.74118,TRUE,TRUE,7.43760703492373,5.69175566431376,20,1,19
2015,40.45946,-75.78824,TRUE,TRUE,10.7643808956875,5.90987701691571,20,1,19
2016,40.46847,-75.83529,TRUE,TRUE,14.8017192958086,5.96192248441677,20,1,19
2017,40.55856,-75.95294,TRUE,TRUE,28.4117704410758,5.80659677256633,20,1,19
2018,40.72072,-76.22353,TRUE,TRUE,57.4950889609945,5.77479136046883,20,1,19
2019,40.74775,-76.47059,TRUE,TRUE,76.7894347612624,5.88715640861875,20,1,19
2020,40.79279,-76.56471,TRUE,TRUE,86.1609601729069,5.88172639353436,20,1,19
2014,40.42342,-75.71765,TRUE,TRUE,3.70392029693695,6.09220662553049,20,1,20
2015,40.42342,-75.76471,TRUE,TRUE,7.63895744606867,6.19191003544109,20,1,20
2016,40.46847,-76.04706,TRUE,TRUE,32.0861718396175,6.14095307010181,20,1,20
2017,40.45946,-76.37647,TRUE,TRUE,59.6906258859692,6.22019911757961,20,1,20
2018,40.45045,-76.50588,TRUE,TRUE,70.5812845880689,6.24081657253187,20,1,20
2019,40.44144,-76.61176,TRUE,TRUE,79.5154965349426,6.25521370619691,20,1,20
2020,40.55856,-77.61176,TRUE,TRUE,164.944062769867,6.20930714076405,20,1,20
2014,40.40541,-75.70588,TRUE,TRUE,2.81269347566328,0.311400997865572,20,2,1
2015,40.3964,-75.74118,TRUE,TRUE,5.96762156601172,0.27870081431092,20,2,1
2016,40.36937,-75.84706,TRUE,TRUE,15.4436914421587,0.261026415380249,20,2,1
2017,40.17117,-76.35294,TRUE,TRUE,63.6703273086622,0.345730637525689,20,2,1
2018,40.18919,-76.45882,TRUE,TRUE,71.1806817312159,0.280892107286124,20,2,1
