"DistToIntro","bio_year","latitude_rounded","longitude_rounded","slf_present","slf_established","theta","DistToSLF"
85.0149459954587,2018,41.09009,-75.2,TRUE,TRUE,4.09874020268907,161628.012610805
160.856958883827,2019,40.05405,-77.50588,TRUE,TRUE,0.194810923571406,58961.7034089254
159.888029779959,2019,40.05405,-77.49412,TRUE,TRUE,0.196038619606539,58715.3361325407
158.918670718031,2019,40.05405,-77.48235,TRUE,TRUE,0.197282748768481,58484.8307888262
157.950536127493,2019,40.05405,-77.47059,TRUE,TRUE,0.198541483713003,58270.7695193091
153.552821690041,2019,40.07207,-77.42353,TRUE,TRUE,0.193835516238048,55599.2047390829
351.099121342728,2019,40.3964,-79.81176,TRUE,TRUE,0.00455463171614312,190982.64226074
350.101150117692,2019,40.3964,-79.8,TRUE,TRUE,0.0045676174471021,190261.375710877
349.103177443501,2019,40.3964,-79.78824,TRUE,TRUE,0.00458067743661372,189542.715146395
348.104354707396,2019,40.3964,-79.77647,TRUE,TRUE,0.00459382352464388,188826.082599823
158.629651665756,2019,39.36937,-74.41176,TRUE,TRUE,2.45018592125836,73767.9262182575
113.698221901239,2019,41.13514,-74.71765,TRUE,TRUE,3.78618382849046,66359.5836666503
112.693918027541,2019,41.22523,-74.87059,TRUE,TRUE,3.93023591007126,82621.7116484246
123.244905501267,2019,41.2973,-74.78824,TRUE,TRUE,3.92414201508936,83100.1083006245
124.03861148884,2019,41.30631,-74.78824,TRUE,TRUE,3.9292234457031,83835.1482047415
130.259845128362,2019,41.30631,-74.67059,TRUE,TRUE,3.86709903236748,77525.6630283832
125.634004215878,2019,41.32432,-74.78824,TRUE,TRUE,3.9392272871397,85320.6112731474
131.143346549119,2019,41.32432,-74.68235,TRUE,TRUE,3.88290430603302,79716.4760239114
128.822119002967,2019,41.33333,-74.74118,TRUE,TRUE,3.91831509998789,83532.9734694577
131.911562378061,2019,41.33333,-74.68235,TRUE,TRUE,3.88781836726812,80520.5164515645
133.310327038704,2019,41.34234,-74.67059,TRUE,TRUE,3.88681781020228,80755.7090177867
103.957336983075,2019,41.35135,-75.67059,TRUE,TRUE,4.70731483393405,146758.54292567
108.985918040859,2019,41.3964,-75.64706,TRUE,TRUE,4.68357393234007,147342.882836983
79.4678789666471,2019,41.11712,-75.85882,TRUE,TRUE,4.96807937021023,138221.941914676
79.7796640896738,2019,41.12613,-75.81176,TRUE,TRUE,4.90198436951307,142219.308932065
83.7869078437838,2019,41.15315,-75.88235,TRUE,TRUE,4.98589424519271,138251.002552509
85.5479808124484,2019,41.17117,-75.87059,TRUE,TRUE,4.96515569159379,140058.569136559
90.2934369417021,2019,41.20721,-75.91765,TRUE,TRUE,5.00930333826945,138568.782799058
91.2680514176434,2019,41.21622,-75.91765,TRUE,TRUE,5.00615327025488,139077.428848323
92.0955976779138,2019,41.23423,-75.84706,TRUE,TRUE,4.91906786004365,145193.615270116
93.0837590276915,2019,41.24324,-75.84706,TRUE,TRUE,4.9168813568825,145699.061934026
94.072185668217,2019,41.25225,-75.84706,TRUE,TRUE,4.91474000569952,146209.609494504
93.9244658807725,2019,41.25225,-75.83529,TRUE,TRUE,4.90120937643473,147057.447767668
95.559591409443,2019,41.26126,-75.88235,TRUE,TRUE,4.95236084898428,144203.555168663
100.238607680589,2019,41.31532,-75.76471,TRUE,TRUE,4.8113557759301,152173.479372604
100.018682983822,2019,41.31532,-75.71765,TRUE,TRUE,4.759361335949,148580.662998403
102.106190561384,2019,41.33333,-75.74118,TRUE,TRUE,4.78398052067843,151207.188512332
105.959529867118,2019,41.36937,-75.68235,TRUE,TRUE,4.71973585541669,148542.079930559
89.7946750430592,2019,41.1982,-75.94118,TRUE,TRUE,5.03970795109784,136360.177083309
144.227014902775,2019,41.22523,-77.01176,TRUE,TRUE,5.73830033094795,77784.8801220576
364.945351302231,2019,40.45045,-79.97647,TRUE,TRUE,6.27499926920627,205313.649077673
198.34955839154,2019,40.48649,-78.01176,TRUE,TRUE,6.25269938188329,58514.7247275181
123.600209666424,2019,40.48649,-77.12941,TRUE,TRUE,6.23422407605039,19189.9749196508
231.333717932083,2019,40.51351,-78.4,TRUE,TRUE,6.24713404842001,90894.7519414132
231.367634289881,2019,40.52252,-78.4,TRUE,TRUE,6.24383191514314,90828.0964087057
230.371752062339,2019,40.52252,-78.38824,TRUE,TRUE,6.24366150152167,89833.4417149219
124.881384869758,2019,40.52252,-77.14118,TRUE,TRUE,6.21012885343451,16711.4868272924
229.413868850281,2019,40.53153,-78.37647,TRUE,TRUE,6.24015952472425,88781.3200227711
229.457058417097,2019,40.54054,-78.37647,TRUE,TRUE,6.23683054438404,88735.909633154
126.062616006016,2019,40.54054,-77.15294,TRUE,TRUE,6.19858802390224,15245.3491041876
228.50970396826,2019,40.54955,-78.36471,TRUE,TRUE,6.23328570039435,87706.0334680087
387.100919135814,2019,40.63063,-80.23529,TRUE,TRUE,6.23598522292834,234996.119367073
387.138143594656,2019,40.63964,-80.23529,TRUE,TRUE,6.23401390893472,235665.985265075
387.220328312717,2019,40.65766,-80.23529,TRUE,TRUE,6.23007244334852,237012.708487292
388.259472180359,2019,40.66667,-80.24706,TRUE,TRUE,6.22824384898865,238422.460849905
154.978884930234,2019,40.68468,-77.47059,TRUE,TRUE,6.13421228345512,17658.0343142718
284.248636287564,2020,39.55856,-78.81176,TRUE,TRUE,0.266635640899831,92306.2088605198
419.377401874882,2020,40.31532,-80.61176,TRUE,TRUE,0.0202386257958262,256726.042022228
272.399024218292,2020,40.35135,-78.88235,TRUE,TRUE,0.0199193484509377,126104.035321543
301.131977275264,2020,40.41441,-79.22353,TRUE,TRUE,0.000233922079950766,153575.509329563
370.790323126354,2020,38.25225,-78.95294,TRUE,TRUE,0.583324974757717,184554.41917762
122.610221606867,2020,39.42342,-76.30588,TRUE,TRUE,1.00451086340246,124198.717247103
165.406105348253,2020,38.92793,-75.56471,TRUE,TRUE,1.64504220992063,201670.89542797
193.523162235327,2020,41.07207,-73.55294,TRUE,TRUE,3.44171939343901,388753.414492869
201.802245657529,2020,41.11712,-73.47059,TRUE,TRUE,3.44979725706213,397073.499996965
161.435910817246,2020,41.04505,-73.95294,TRUE,TRUE,3.49214836796383,356763.953516815
162.33180509002,2020,41.04505,-73.94118,TRUE,TRUE,3.4899593969503,357662.476843707
182.018543436523,2020,41.08108,-73.70588,TRUE,TRUE,3.46761136901668,377342.582955264
149.363459862061,2020,41.14414,-74.18824,TRUE,TRUE,3.5973281379957,343914.119399275
149.900922977631,2020,41.15315,-74.18824,TRUE,TRUE,3.60220156888771,344383.519615738
236.164378817895,2020,42.45045,-76.49412,TRUE,TRUE,5.09488289298217,328967.84849782
106.9858476452,2020,40.85586,-76.8,TRUE,TRUE,5.90978461657276,156494.855817158
127.426043623161,2020,40.94595,-77.01176,TRUE,TRUE,5.905170040066,157363.691932264
231.044564701856,2020,41.34234,-78.12941,TRUE,TRUE,5.92197909514781,192091.125959971
182.515490337375,2020,40.51351,-77.82353,TRUE,TRUE,6.23747168887205,97362.6646769966
104.548044620786,2020,40.71171,-76.84706,TRUE,TRUE,6.03536518963123,140777.058143942
